rank,country,hdi2014,life_expectancy,mean_schooling,expected_schooling,gni_per_capita
1,Norway,0.9435975807,81.503,12.631,17.6,63909.44669
2,Australia,0.9326621151,82.496,12.79606561,19.9,41523.94406
3,Switzerland,0.9173943169,82.604,12.23934293,15.7,53761.91815
4,Netherlands,0.9152827993,81.038,11.88930225,17.9,42397.20095
5,United States,0.9137416427,78.941,12.94277621,16.5,52308.37954
6,Germany,0.911436942,80.743,12.94782524,16.3,43048.67704
7,New Zealand,0.9100016285,81.132,12.503,19.4,32569.37424
8,Canada,0.9018515752,81.482,12.259,15.9,41886.81626
9,Singapore,0.9013058549,82.322,10.2,15.4,72371.22944
10,Denmark,0.9004607253,79.388,12.10144833,16.9,42880.27561
11,Ireland,0.8992991191,80.707,11.612,18.6,33414.39805
12,Sweden,0.8978182019,81.818,11.73735,15.8,43201.3531
13,Iceland,0.894693734,82.086,10.406,18.7,35116.45801
14,United Kingdom,0.891725911,80.547,12.30780435,16.2,35001.63498
15,"Hong Kong, China (SAR)",0.8911286392,83.378,10.021,15.6,52383.44586
15,Korea (Republic of),0.8906693239,81.535,11.7686224,17,30345.34975
17,Japan,0.8900860703,83.58,11.49,15.3,36746.82578
18,Liechtenstein,0.8886266253,79.893,10.263,15.1,87085.08942
19,Israel,0.8877625969,81.801,12.54470158,15.7,29966.20483
20,France,0.884325552,81.81,11.13314915,16,36628.78463
21,Austria,0.8812098393,81.137,10.83443082,15.6,42929.64065
21,Belgium,0.8807800381,80.548,10.86875064,16.2,39470.90422
21,Luxembourg,0.8809207278,80.547,11.27999799,13.9,58694.71929
24,Finland,0.8790242871,80.535,10.286,17,37366.06616
25,Slovenia,0.8742927629,79.591,11.89249992,16.8,26808.59812
26,Italy,0.8718088069,82.385,10.10184065,16.3,32668.98823
27,Spain,0.8689107838,82.1,9.58190918,17.1,30561.46907
28,Czech Republic,0.8613420639,77.69,12.32,16.4,24534.54753
29,Greece,0.8526643776,80.77,10.15965652,16.5,24657.99309
30,Brunei Darussalam,0.8518228882,78.547,8.68,14.5,70883.48
31,Qatar,0.8507426727,78.369,9.070602417,13.8,119029.1156
32,Cyprus,0.8450187274,79.841,11.61928463,14,26770.72646
33,Estonia,0.8399008108,74.441,12.006,16.5,23387.24001
34,Saudi Arabia,0.8355306748,75.479,8.695222916,15.6,52109.35987
35,Lithuania,0.8342856256,72.11,12.38313007,16.7,23740.30577
35,Poland,0.8342176831,76.408,11.82433128,15.5,21487.18361
37,Andorra,0.8302648492,81.173,10.382,11.67192,40597.12481
37,Slovakia,0.8298772972,75.397,11.563,15,25336.06827
39,Malta,0.8289094429,79.75,9.892807007,14.5,27022.18358
40,United Arab Emirates,0.8271693998,76.841,9.088115289,13.33,58068.21812
41,Chile,0.8215838898,79.955,9.786924362,15.1,20804.03058
41,Portugal,0.8223294376,79.945,8.245105743,16.3,24130.06783
43,Hungary,0.8180576261,74.62,11.31347971,15.4,21239.12836
44,Bahrain,0.815328888,76.608,9.419,14.4,32072.13
44,Cuba,0.8149629213,79.262,10.203,14.5,19844.09546
46,Kuwait,0.8140043138,74.288,7.206958294,14.6,85819.68145
47,Croatia,0.8123098609,77.048,11.02670097,14.5,19024.92848
48,Latvia,0.8104796873,72.15,11.47896866,15.5,22185.73487
49,Argentina,0.8083041713,76.305,9.83,16.4,17296.70106
50,Uruguay,0.7897099606,77.23,8.451206207,15.5,18108.10801
51,Bahamas,0.7893611619,75.237,10.94454861,12.56891,21414.27291
51,Montenegro,0.7893816289,74.821,10.54,15.2,14710.23016
53,Belarus,0.7858077842,69.928,11.5161916,15.7,16403.21534
54,Romania,0.784527515,73.831,10.68682861,14.1,17432.66228
55,Libya,0.784378841,75.325,7.52,16.1,21665.64119
56,Oman,0.7825715011,76.552,6.765040165,13.6,42191.36
57,Russian Federation,0.7783028052,67.979,11.732,14,22616.57529
58,Bulgaria,0.7773619219,73.549,10.56554948,14.3,15401.57959
59,Barbados,0.7762124335,75.37,9.36,15.4,13603.98104
60,Palau,0.7748054859,72.412,12.18613198,13.7,12822.57978
61,Antigua and Barbuda,0.7740100473,75.954,8.93,13.8,18800.31725
62,Malaysia,0.7729070414,75.017,9.533,12.7,21823.93071
63,Mauritius,0.7710019327,73.613,8.542904854,15.6,16776.89988
64,Trinidad and Tobago,0.7658232051,69.865,10.75962067,12.3,25325.05924
65,Lebanon,0.7650144631,80.007,7.917283708,13.2,16263.34383
65,Panama,0.7653622953,77.556,9.389,12.4,16379.0044
67,Venezuela (Bolivarian Republic of),0.7636652442,74.633,8.641145183,14.2,17066.61958
68,Costa Rica,0.7625372559,79.93,8.367648125,13.5,13011.71351
69,Turkey,0.7586359557,75.259,7.560710907,14.4,18391.39666
70,Kazakhstan,0.7573712464,66.536,10.368,15,19440.651
71,Mexico,0.7558301169,77.501,8.468326569,12.8,15854.09112
71,Seychelles,0.7564399516,73.187,9.4112,11.6,24631.83112
73,Saint Kitts and Nevis,0.7497263305,73.569,8.39,12.9,20150.05349
73,Sri Lanka,0.7497346894,74.293,10.8,13.6,9249.908281
75,Iran (Islamic Republic of),0.7493493877,74.048,7.837,15.2,13450.7
76,Azerbaijan,0.7473728718,70.753,11.16,11.8,15725.26565
77,Jordan,0.7454702344,73.854,9.908419609,13.3,11337.02556
77,Serbia,0.7447221893,74.059,9.53,13.6,11300.90393
79,Brazil,0.7436404391,73.937,7.178,15.19340264,14274.77282
79,Georgia,0.743770121,74.301,12.11,13.2,6889.517878
79,Grenada,0.7439572706,72.768,8.55,15.8,10338.91714
82,Peru,0.7368045435,74.826,9.013469696,13.1,11279.87665
83,Ukraine,0.7340210213,68.525,11.282,15.1,8214.532022
84,Belize,0.7315988266,73.882,9.25,13.7,9363.832904
84,The former Yugoslav Republic of Macedonia,0.7321313987,75.198,8.1736,13.3,11744.85042
86,Bosnia and Herzegovina,0.7308066155,76.37,8.3262129,13.6,9430.779378
87,Armenia,0.7300926061,74.561,10.791,12.3,7952.35235
88,Fiji,0.7240817938,69.81,9.91218949,15.7,7213.84955
89,Thailand,0.7219256866,74.401,7.322291851,13.1,13364.30058
90,Tunisia,0.7211743575,75.873,6.477,14.6,10439.70226
91,China,0.7190806068,75.331,7.54,12.9,11477.1475
91,Saint Vincent and the Grenadines,0.7189416092,72.488,8.62,13.3,10339.02207
93,Algeria,0.7166461846,71,7.611,14,12554.57199
93,Dominica,0.7169004201,77.671,7.68,12.65283,9234.743302
95,Albania,0.7160999638,77.392,9.255580902,10.8,9225.050846
96,Jamaica,0.7153439279,73.525,9.634,12.5,8170.213998
97,Saint Lucia,0.7141061392,74.804,8.28,12.8,9250.975792
98,Colombia,0.710733783,74.038,7.066672325,13.2,11526.52767
98,Ecuador,0.710636996,76.471,7.585,12.27615,9997.964884
100,Suriname,0.7047771404,71.019,7.651408672,12,15112.77479
100,Tonga,0.7049592212,72.673,9.36,14.7,5315.734288
102,Dominican Republic,0.7001541681,73.402,7.455116272,12.3,10844.18608
103,Maldives,0.6979128387,77.919,5.842967389,12.7,10073.96951
103,Mongolia,0.6978805005,67.503,8.31,15,8465.761389
103,Turkmenistan,0.6982088358,65.452,9.87817,12.57986,11533.11142
106,Samoa,0.6937240922,73.156,10.32,12.8752102,4707.905865
107,"Palestine, State of",0.6862157952,73.203,8.874298096,13.2,5167.85
108,Indonesia,0.6842584022,70.833,7.51074791,12.7,8970.34953
109,Botswana,0.6832984009,64.385,8.82,11.7,14791.94638
110,Egypt,0.6815781486,71.157,6.37,13,10399.77137
111,Paraguay,0.6758514806,72.259,7.703,11.9,7579.645768
112,Gabon,0.6736823905,63.48,7.43,12.3,16976.54282
113,Bolivia (Plurinational State of),0.6672819632,67.26,9.205,13.2,5551.943638
114,Moldova (Republic of),0.662747309,68.899,9.77,11.8,5041.197518
115,El Salvador,0.6616091196,72.599,6.514523029,12.1,7240.341404
116,Uzbekistan,0.6610006399,68.241,9.95,11.5,5227.367023
117,Philippines,0.6595299591,68.703,8.88,11.3,6381.437787
118,South Africa,0.6577537507,56.916,9.943231583,13.10422,11787.90857
118,Syrian Arab Republic,0.6576373305,74.553,6.595747471,12,5771.234842
120,Iraq,0.6421642717,69.419,5.58,10.1,14007.31916
121,Guyana,0.6379838533,66.295,8.533,10.7,6340.802674
121,Viet Nam,0.6380165452,75.945,5.488,11.9,4892.405215
123,Cape Verde,0.6358615717,75.093,3.504,13.2,6364.831563
124,Micronesia (Federated States of),0.6303927164,68.993,8.822061,11.41257,3662.00535
