"","1. Norway","2. Australia","3. Switzerland","4. Netherlands","5. United States","6. Germany","7. New Zealand","8. Canada","9. Singapore","10. Denmark"
"1. Norway",0.5,0.643294429578065,0.924433694281911,1,1,1,0.964772156111758,1,0.834125467676075,1
"2. Australia",0.356705570421936,0.5,0.677043177577459,0.988946513930591,0.811869692276966,0.980329928100605,1,0.998661664069149,0.690534488409068,0.992282047050269
"3. Switzerland",0.0755663057180887,0.322956822422541,0.5,0.587196687619395,0.569339125972888,0.657407927535284,0.612947627359898,0.955798179637208,0.701447598327243,0.814583807632749
"4. Netherlands",0,0.0110534860694095,0.412803312380605,0.5,0.56045166414402,0.932863282074373,0.61335409385504,0.900108790159323,0.564244011730849,0.995276824517386
"5. United States",0,0.188130307723034,0.430660874027112,0.43954833585598,0.5,0.594042753026966,0.495086195719442,0.740339817228627,0.540273016072353,0.94645096704934
"6. Germany",0,0.0196700718993947,0.342592072464715,0.0671367179256271,0.405957246973034,0.5,0.499209485498107,0.828698892653755,0.535238577225539,1
"7. New Zealand",0.0352278438882419,0,0.387052372640102,0.38664590614496,0.504913804280558,0.500790514501893,0.5,0.593717565259294,0.521698818668226,0.700599802986478
"8. Canada",0,0.00133833593085087,0.0442018203627922,0.0998912098406771,0.259660182771374,0.171301107346245,0.406282434740706,0.5,0.477303399884071,0.512621135503562
"9. Singapore",0.165874532323925,0.309465511590932,0.298552401672757,0.43575598826915,0.459726983927646,0.464761422774461,0.478301181331774,0.522696600115929,0.5,0.558466585191891
"10. Denmark",0,0.00771795294973107,0.18541619236725,0.00472317548261408,0.0535490329506606,0,0.299400197013522,0.487378864496438,0.441533414808109,0.5
