"","1. Switzerland","2. Luxembourg","3. Australia","4. Singapore","5. Czech Republic","6. Germany","7. Spain","8. Austria","9. Sweden","10. Norway"
"1. Switzerland",0.5,0.941100323250204,0.732307662609423,0.705906927615482,0.993722362545288,0.985263240150067,0.854589818890832,0.998946500909978,0.902886842108466,0.915644649124481
"2. Luxembourg",0.0588996767497967,0.5,0.548307390942804,0.506867464238093,0.673613979203314,0.897420873527877,0.608370273990462,0.948849872028095,0.724917430073707,0.74302844456685
"3. Australia",0.267692337390549,0.451692609057202,0.5,0.53173803991321,0.578833013687967,0.618662067376664,0.684754229746897,0.743237573014707,0.752990805873512,0.790653119730117
"4. Singapore",0.294093072384514,0.493132535761907,0.468261960086792,0.5,0.561732809670683,0.593637688645885,0.675384832931263,0.694024754110397,0.76976914745506,0.697698595507544
"5. Czech Republic",0.00627763745470981,0.326386020796689,0.421166986311977,0.438267190329327,0.5,0.63269689498357,0.504372736472803,0.923835025882488,0.634260832532269,0.703446807957423
"6. Germany",0.0147367598499132,0.102579126472143,0.381337932623337,0.406362311354115,0.367303105016416,0.5,0.473773271322659,0.902911245786855,0.619668447344257,0.651880511935623
"7. Spain",0.145410181109168,0.391629726009536,0.315245770253103,0.324615167068737,0.495627263527782,0.526226728677343,0.5,0.653431669748983,0.785486508163871,0.724011408010305
"8. Austria",0.0010534990899897,0.0511501279719069,0.256762426985294,0.305975245889602,0.0761649741175053,0.0970887542131023,0.346568330250959,0.5,0.45886583021648,0.50296021563674
"9. Sweden",0.0971131578915325,0.275082569926277,0.247009194126488,0.230230852544917,0.365739167467731,0.380331552655742,0.214513491836129,0.54113416978352,0.5,0.513069756442796
"10. Norway",0.084355350875519,0.256971555433146,0.209346880269885,0.302301404492457,0.296553192042539,0.348119488064376,0.275988591989696,0.49703978436326,0.486930243557206,0.5
